con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
2526.7502,0.06167634,3613.6204,3390.7454,863.9952,26.315147,923.42,176.78099,222.87485,26.329191
2545.0718,0.061826877,3640.5786,3415.4932,870.4213,26.010351,931.15173,175.89937,225.08562,26.024075
2563.438,0.061975908,3667.6067,3440.3035,876.8652,25.707706,938.91034,175.02199,227.30325,25.721119
2581.8452,0.06212339,3694.6968,3465.1697,883.32477,25.407116,946.69305,174.14911,229.52711,25.420225
2600.2944,0.06226937,3721.8525,3490.095,889.8005,25.108685,954.5011,173.28056,231.75742,25.121494
2618.7842,0.062413838,3749.071,3515.077,896.2929,24.812355,962.33356,172.41635,233.9939,24.824875
2637.314,0.062556796,3776.3508,3540.1145,902.8006,24.518183,970.1906,171.5564,236.23642,24.530418
2655.8801,0.06269825,3803.6895,3565.2046,909.3246,24.226177,978.06915,170.70082,238.48468,24.238132
2674.486,0.062838234,3831.0903,3590.351,915.86505,23.936232,985.9714,169.8494,240.73894,23.947916
2693.1277,0.06297673,3858.5466,3615.5483,922.4207,23.648537,993.895,169.00229,242.99867,23.659954
2711.8071,0.063113764,3886.062,3640.798,928.9912,23.362936,1001.8422,168.15935,245.26402,23.374096
2730.5234,0.06324932,3913.6345,3666.0999,935.5766,23.07958,1009.81104,167.32068,247.53473,23.090487
2749.2756,0.063383415,3941.265,3691.4543,942.1787,22.798363,1017.8012,166.4861,249.81082,22.809021
2768.0593,0.063516065,3968.945,3716.853,948.7936,22.519339,1025.812,165.65575,252.09178,22.529755
2786.8794,0.06364726,3996.6816,3742.3037,955.4243,22.242569,1033.843,164.82948,254.37784,22.252747
2805.7307,0.063777044,4024.4675,3767.7988,962.0683,21.967964,1041.8943,164.00745,256.66867,21.977911
2824.6155,0.06390539,4052.3076,3793.3433,968.7278,21.695578,1049.9656,163.18944,258.9643,21.705296
2843.535,0.064032316,4080.201,3818.9363,975.40137,21.425413,1058.0577,162.3755,261.2647,21.434914
2862.4827,0.06415783,4108.14,3844.5708,982.08813,21.157505,1066.1678,161.56567,263.56934,21.16679
2881.4631,0.06428194,4136.1304,3870.2515,988.78827,20.891754,1074.2979,160.75981,265.87848,20.900826
2900.4727,0.06440464,4164.1675,3895.9758,995.5032,20.62832,1082.4463,159.95808,268.19168,20.637188
2919.5137,0.06452598,4192.2554,3921.7458,1002.23236,20.367025,1090.61,159.16025,270.50934,20.37569
2938.581,0.06464592,4220.3857,3947.555,1008.9739,20.108044,1098.7897,158.36641,272.83072,20.11651
2957.676,0.06476452,4248.561,3973.405,1015.72894,19.851257,1106.9863,157.57652,275.15604,19.85953
2976.7969,0.064881735,4276.7783,3999.2932,1022.4963,19.596714,1115.1989,156.79065,277.4848,19.604801
2995.9468,0.06499758,4305.0405,4025.2236,1029.2771,19.34438,1123.4297,156.0086,279.81723,19.352283
3015.1296,0.06511211,4333.3477,4051.194,1036.0645,19.094288,1131.6749,155.23045,282.15338,19.10201
3034.3381,0.06522529,4361.6895,4077.197,1042.859,18.846405,1139.931,154.45619,284.49246,18.85395
3053.5645,0.06533713,4390.068,4103.2334,1049.6691,18.600801,1148.1881,153.6858,286.8344,18.608177
